Date,Subject,Time Range
2024-08-07,Math,08:00 AM - 09:00 AM
2024-08-07,Break,09:00 AM - 09:10 AM
2024-08-07,Physics,09:10 AM - 10:10 AM
2024-08-07,Break,10:10 AM - 10:20 AM
2024-08-07,History,10:20 AM - 11:20 AM
2024-08-08,Math,08:00 AM - 09:00 AM
2024-08-08,Break,09:00 AM - 09:10 AM
2024-08-08,Physics,09:10 AM - 10:10 AM
2024-08-08,Break,10:10 AM - 10:20 AM
2024-08-08,History,10:20 AM - 11:20 AM
2024-08-09,Math,08:00 AM - 09:00 AM
2024-08-09,Break,09:00 AM - 09:10 AM
2024-08-09,Physics,09:10 AM - 10:10 AM
2024-08-09,Break,10:10 AM - 10:20 AM
2024-08-09,History,10:20 AM - 11:20 AM
2024-08-10,Math,08:00 AM - 09:00 AM
2024-08-10,Break,09:00 AM - 09:10 AM
2024-08-10,Physics,09:10 AM - 10:10 AM
2024-08-10,Break,10:10 AM - 10:20 AM
2024-08-10,History,10:20 AM - 11:20 AM
2024-08-11,Math,08:00 AM - 09:00 AM
2024-08-11,Break,09:00 AM - 09:10 AM
2024-08-11,Physics,09:10 AM - 10:10 AM
2024-08-11,Break,10:10 AM - 10:20 AM
2024-08-11,History,10:20 AM - 11:20 AM
2024-08-12,Math,08:00 AM - 09:00 AM
2024-08-12,Break,09:00 AM - 09:10 AM
2024-08-12,Physics,09:10 AM - 10:10 AM
2024-08-12,Break,10:10 AM - 10:20 AM
2024-08-12,History,10:20 AM - 11:20 AM
2024-08-13,Math,08:00 AM - 09:00 AM
2024-08-13,Break,09:00 AM - 09:10 AM
2024-08-13,Physics,09:10 AM - 10:10 AM
2024-08-13,Break,10:10 AM - 10:20 AM
2024-08-13,History,10:20 AM - 11:20 AM
2024-08-14,Math,08:00 AM - 09:00 AM
2024-08-14,Break,09:00 AM - 09:10 AM
2024-08-14,Physics,09:10 AM - 10:10 AM
2024-08-14,Break,10:10 AM - 10:20 AM
2024-08-14,History,10:20 AM - 11:20 AM
2024-08-15,Physics,08:00 AM - 09:00 AM
2024-08-15,Break,09:00 AM - 09:10 AM
2024-08-15,History,09:10 AM - 10:10 AM
2024-08-16,History,08:00 AM - 09:00 AM
