Date,Subject,Time Range
2024-08-08,Mathematics,10:00 AM - 10:20 AM
2024-08-08,Break,10:20 AM - 10:35 AM
2024-08-08,English - First Language,10:35 AM - 10:55 AM
2024-08-08,Break,10:55 AM - 11:10 AM
2024-08-08,Science - Combined,11:10 AM - 11:30 AM
2024-08-09,Mathematics,10:00 AM - 10:20 AM
2024-08-09,Break,10:20 AM - 10:35 AM
2024-08-09,English - First Language,10:35 AM - 10:55 AM
2024-08-09,Break,10:55 AM - 11:10 AM
2024-08-09,Science - Combined,11:10 AM - 11:30 AM
2024-08-10,Mathematics,10:00 AM - 10:20 AM
2024-08-10,Break,10:20 AM - 10:35 AM
2024-08-10,English - First Language,10:35 AM - 10:55 AM
2024-08-10,Break,10:55 AM - 11:10 AM
2024-08-10,Science - Combined,11:10 AM - 11:30 AM
2024-08-11,Mathematics,10:00 AM - 10:20 AM
2024-08-11,Break,10:20 AM - 10:35 AM
2024-08-11,English - First Language,10:35 AM - 10:55 AM
2024-08-11,Break,10:55 AM - 11:10 AM
2024-08-11,Science - Combined,11:10 AM - 11:30 AM
2024-08-12,Mathematics,10:00 AM - 10:20 AM
2024-08-12,Break,10:20 AM - 10:35 AM
2024-08-12,English - First Language,10:35 AM - 10:55 AM
2024-08-12,Break,10:55 AM - 11:10 AM
2024-08-12,Science - Combined,11:10 AM - 11:30 AM
2024-08-13,Mathematics,10:00 AM - 10:20 AM
2024-08-13,Break,10:20 AM - 10:35 AM
2024-08-13,English - First Language,10:35 AM - 10:55 AM
2024-08-13,Break,10:55 AM - 11:10 AM
2024-08-13,Science - Combined,11:10 AM - 11:30 AM
2024-08-14,Mathematics,10:00 AM - 10:20 AM
2024-08-14,Break,10:20 AM - 10:35 AM
2024-08-14,English - First Language,10:35 AM - 10:55 AM
2024-08-14,Break,10:55 AM - 11:10 AM
2024-08-14,Science - Combined,11:10 AM - 11:30 AM
2024-08-15,Mathematics,10:00 AM - 10:20 AM
2024-08-15,Break,10:20 AM - 10:35 AM
2024-08-15,English - First Language,10:35 AM - 10:55 AM
2024-08-15,Break,10:55 AM - 11:10 AM
2024-08-15,Science - Combined,11:10 AM - 11:30 AM
2024-08-16,English - First Language,10:00 AM - 10:20 AM
